Sembcorp Ind,U96,SCIL.SI
Sembcorp Marine,S51,SCMN.SI
Sen Yue,5BS,SENY.SI
Serial System,S69,SERL.SI
Seroja Inv,IW5,SERO.SI
SEVAK,BAI,SEVA.SI
SGX,S68,SGXL.SI
Shanghai Turbo,AWM,SHTU.SI
Shangri-La HKD,S07,0069.HK
Sheng Siong,OV8,SHEN.SI
Shinvest,BJW,SHIN.SI
Shopper360,1F0,SHOP.SI
SHS,566,SEEH.SI
SIA,C6L,SIAL.SI
SIA Engineering,S59,SIAE.SI
SIIC Environment,BHK,SIIC.SI
Silkroad Nickel,STP,SILK.SI
Silverlake Axis,5CP,SLVX.SI
Sim Leisure,URR,SIMI.SI
Sin Ghee Huat,B7K,SGHC.SI
Sin Heng Mach,BKA,SIHM.SI
Sinarmas Land,A26,SINA.SI
Sincap,5UN,SINC.SI
Sing Inv & Fin,S35,SINV.SI
Sing Paincare,FRQ,SINR.SI
Singapore O&G,1D8,SINP.SI
Singapore-eDev,40V,SINE.SI
SingaporeKitchen,5WG,SING.SI
SingHaiyi,5H0,SIHL.SI
SingHoldings,5IC,SHDS.SI
SingMedical,5OT,SMGL.SI
SingMyanmar,Y45,SINO.SI
SingPost,S08,SPOS.SI
SingReinsurance,S49,SPRS.SI
SingShipping,S19,SSHP.SI
Singtel,Z74,STEL.SI
Singtel 10,Z77,
Sinjia Land,5HH,SINJ.SI
Sino Grandness,T4B,SOGF.SI
SinoCloud,5EK,SINL.SI
Sinopipe,X06,SPHL.SI
Sinostar Pec,C9Q,SNSR.SI
Sitra,5LE,SITR.SI
SK Jewellery,42G,SKJE.SI
SLB Dev,1J0,SLBD.SI
Soilbuild Const,S7P,SOIL.SI
SoilbuildBizReit,SV3U,SBSR.SI
Soon Lian,5MD,SNLN.SI
Soup Restaurant,5KI,SRGL.SI
Southern Pkg,BQP,SOUT.SI
SouthernAlliance,QNS,SOUH.SI
SP Corp,AWE,SPPS.SI
Spackman,40E,SPAC.SI
SPH,T39,SPRM.SI
SPHREIT,SK6U,SPHR.SI
Spindex Ind,564,SNEX.SI
Spura Finance,S23,SBDS.SI
Sri Trang Agro,NC2,
ST Engineering,S63,STEG.SI
ST Group Food,DRX,STGR.SI
Stamford Land,H07,SFLD.SI
Stamford Tyres,S29,STAS.SI
Starburst,40D,STAB.SI
StarhillGbl Reit,P40U,STHL.SI
StarHub,CC3,STAR.SI
Starland,5UA,STHO.SI
Straco,S85,STRA.SI
Straits Trading,S20,STCM.SI
StratechGroup,BRR,STRT.SI
SunMoonFood,AAJ,SMFC.SI
Sunningdale Tech,BHQ,SUND.SI
Sunpower,5GD,SUNP.SI
Sunright,S71,SNRT.SI
Sunrise Shares,581,SUNR.SI
Suntar Eco-City,BKZ,SECL.SI
Suntec Reit,T82U,SUNT.SI
SunVic Chemical,A7S,SVCH.SI
SUTL Enterprise,BHU,SUTL.SI
Swee Hong,QF6,SWEE.SI
Swiber,BGK,SWBR.SI
Swing Media Tech,BEV,SWMT.SI
Swissco Hldg,ADP,SWCO.SI
Synagie,V2Y,SYNA.SI
Sysma,5UO,SYSM.SI
TA,PA3,TACO.SI
Tai Sin Electric,500,TAIS.SI
TalkMed,5G3,TALK.SI
Tat Seng Pkg,T12,TASE.SI
TCIL HK$,T15,0693.HK
Tech Oil & Gas,5CQ,TECH.SI
Teckwah,561,TECK.SI
TEE Intl,M1Z,TEEI.SI
Teho Intl,5OQ,TEHO.SI
TeleChoice Intl,T41,TCIN.SI
